Date Key,Year,Month,Inflation
1,2017,1,1.2
2,2017,2,1.2
3,2017,3,1.1
4,2017,4,1.1
5,2017,5,1.0
6,2017,6,1.1
7,2017,7,1.2
8,2017,8,1.2
9,2017,9,1.3
10,2017,10,1.3
11,2017,11,1.4
12,2017,12,1.6
13,2018,1,1.6
14,2018,2,1.7
15,2018,3,1.7
16,2018,4,1.8
17,2018,5,1.7
18,2018,6,1.8
19,2018,7,1.9
20,2018,8,1.9
21,2018,9,1.7
22,2018,10,1.8
23,2018,11,1.8
24,2018,12,1.7
25,2019,1,1.8
26,2019,2,1.9
27,2019,3,2.0
28,2019,4,2.0
29,2019,5,2.1
30,2019,6,2.1
31,2019,7,2.2
32,2019,8,2.1
33,2019,9,2.4
34,2019,10,2.3
35,2019,11,2.4
36,2019,12,2.4
37,2020,1,2.3
38,2020,2,2.0
39,2020,3,1.7
40,2020,4,1.7
41,2020,5,1.4
42,2020,6,1.5
43,2020,7,1.3
44,2020,8,1.5
45,2020,9,1.4
46,2020,10,1.6
47,2020,11,1.7
48,2020,12,1.6
49,2021,1,1.6
50,2021,2,1.6
51,2021,3,2.0
52,2021,4,2.1
53,2021,5,2.5
54,2021,6,2.5
55,2021,7,2.7
56,2021,8,2.9
57,2021,9,3.1
58,2021,10,3.0
59,2021,11,3.1
60,2021,12,3.2
61,2022,1,3.7
62,2022,2,4.1
63,2022,3,4.5
64,2022,4,4.9
65,2022,5,5.4
66,2022,6,5.6
67,2022,7,5.8
68,2022,8,5.8
69,2022,9,5.9
70,2022,10,5.9
71,2022,11,6.2
72,2022,12,6.1
73,2023,1,6.1
74,2023,2,6.0
75,2023,3,5.7
76,2023,4,5.6
77,2023,5,5.2
78,2023,6,5.1
79,2023,7,4.8
80,2023,8,4.8
81,2023,9,4.4
82,2023,10,4.2
83,2023,11,3.9
84,2023,12,3.9
