Cost (Dollars),Quantity (g),Product Key,Date Key,Location Key
5.03,500.0,1,1,1
4.06,500.0,1,1,2
3.94,500.0,1,1,3
3.97,500.0,1,1,4
4.06,500.0,1,1,5
5.66,500.0,1,1,6
4.8,500.0,1,1,7
5.84,500.0,1,1,8
5.73,500.0,1,1,9
5.84,500.0,1,1,10
5.74,500.0,1,1,11
5.37,500.0,1,2,1
4.94,500.0,1,2,2
4.84,500.0,1,2,3
4.95,500.0,1,2,4
4.89,500.0,1,2,5
4.96,500.0,1,2,6
5.16,500.0,1,2,7
6.23,500.0,1,2,8
5.88,500.0,1,2,9
6.38,500.0,1,2,10
6.12,500.0,1,2,11
5.74,500.0,1,3,1
5.94,500.0,1,3,2
5.31,500.0,1,3,3
5.69,500.0,1,3,4
5.69,500.0,1,3,5
5.72,500.0,1,3,6
5.34,500.0,1,3,7
6.48,500.0,1,3,8
5.97,500.0,1,3,9
6.48,500.0,1,3,10
6.23,500.0,1,3,11
5.57,500.0,1,4,12
5.54,500.0,1,4,13
5.28,500.0,1,4,14
5.29,500.0,1,4,15
5.38,500.0,1,4,16
4.81,500.0,1,4,17
5.56,500.0,1,4,18
6.01,500.0,1,4,19
5.78,500.0,1,4,20
6.41,500.0,1,4,21
6.0,500.0,1,4,22
5.5,500.0,1,5,12
4.85,500.0,1,5,13
4.72,500.0,1,5,14
4.78,500.0,1,5,15
4.83,500.0,1,5,16
5.11,500.0,1,5,17
5.55,500.0,1,5,18
5.99,500.0,1,5,19
5.73,500.0,1,5,20
6.21,500.0,1,5,21
6.11,500.0,1,5,22
5.39,500.0,1,6,12
5.39,500.0,1,6,13
4.82,500.0,1,6,14
4.8,500.0,1,6,15
4.84,500.0,1,6,16
5.57,500.0,1,6,17
5.33,500.0,1,6,18
5.71,500.0,1,6,19
5.39,500.0,1,6,20
5.66,500.0,1,6,21
5.6,500.0,1,6,22
5.61,500.0,1,7,23
5.32,500.0,1,7,24
5.17,500.0,1,7,25
5.25,500.0,1,7,26
5.36,500.0,1,7,27
6.05,500.0,1,7,28
5.37,500.0,1,7,29
6.03,500.0,1,7,30
5.51,500.0,1,7,31
6.11,500.0,1,7,32
5.91,500.0,1,7,33
6.23,500.0,1,8,23
6.37,500.0,1,8,24
5.69,500.0,1,8,25
5.78,500.0,1,8,26
5.76,500.0,1,8,27
6.57,500.0,1,8,28
6.1,500.0,1,8,29
6.39,500.0,1,8,30
6.02,500.0,1,8,31
6.55,500.0,1,8,32
6.37,500.0,1,8,33
5.77,500.0,1,9,23
5.8,500.0,1,9,24
5.35,500.0,1,9,25
5.53,500.0,1,9,26
5.53,500.0,1,9,27
5.82,500.0,1,9,28
5.47,500.0,1,9,29
6.14,500.0,1,9,30
5.95,500.0,1,9,31
6.44,500.0,1,9,32
6.33,500.0,1,9,33
5.62,500.0,1,10,34
5.4,500.0,1,10,35
4.95,500.0,1,10,36
5.13,500.0,1,10,37
5.09,500.0,1,10,38
5.3,500.0,1,10,39
5.6,500.0,1,10,40
5.99,500.0,1,10,41
5.69,500.0,1,10,42
6.17,500.0,1,10,43
6.13,500.0,1,10,44
5.39,500.0,1,11,34
4.75,500.0,1,11,35
4.82,500.0,1,11,36
4.94,500.0,1,11,37
5.05,500.0,1,11,38
5.85,500.0,1,11,39
5.26,500.0,1,11,40
5.44,500.0,1,11,41
5.39,500.0,1,11,42
5.61,500.0,1,11,43
5.69,500.0,1,11,44
5.29,500.0,1,12,34
4.9,500.0,1,12,35
4.76,500.0,1,12,36
4.86,500.0,1,12,37
4.91,500.0,1,12,38
5.28,500.0,1,12,39
5.12,500.0,1,12,40
5.59,500.0,1,12,41
5.57,500.0,1,12,42
5.92,500.0,1,12,43
5.97,500.0,1,12,44
5.79,500.0,1,13,45
4.94,500.0,1,13,46
4.83,500.0,1,13,47
4.87,500.0,1,13,48
4.94,500.0,1,13,49
6.18,500.0,1,13,50
5.83,500.0,1,13,51
6.01,500.0,1,13,52
5.79,500.0,1,13,53
6.19,500.0,1,13,54
6.15,500.0,1,13,55
5.48,500.0,1,14,45
5.07,500.0,1,14,46
5.02,500.0,1,14,47
5.19,500.0,1,14,48
5.19,500.0,1,14,49
5.42,500.0,1,14,50
5.28,500.0,1,14,51
6.03,500.0,1,14,52
5.78,500.0,1,14,53
6.13,500.0,1,14,54
6.03,500.0,1,14,55
5.65,500.0,1,15,45
5.51,500.0,1,15,46
5.45,500.0,1,15,47
5.51,500.0,1,15,48
5.62,500.0,1,15,49
5.39,500.0,1,15,50
5.72,500.0,1,15,51
5.73,500.0,1,15,52
5.51,500.0,1,15,53
5.82,500.0,1,15,54
5.74,500.0,1,15,55
5.67,500.0,1,16,56
5.08,500.0,1,16,57
5.04,500.0,1,16,58
5.11,500.0,1,16,59
5.28,500.0,1,16,60
5.4,500.0,1,16,61
5.69,500.0,1,16,62
6.05,500.0,1,16,63
5.68,500.0,1,16,64
6.21,500.0,1,16,65
6.08,500.0,1,16,66
5.52,500.0,1,17,56
5.44,500.0,1,17,57
5.24,500.0,1,17,58
5.29,500.0,1,17,59
5.38,500.0,1,17,60
4.87,500.0,1,17,61
5.69,500.0,1,17,62
5.76,500.0,1,17,63
5.44,500.0,1,17,64
5.88,500.0,1,17,65
5.79,500.0,1,17,66
5.3,500.0,1,18,56
5.36,500.0,1,18,57
5.06,500.0,1,18,58
4.96,500.0,1,18,59
5.13,500.0,1,18,60
5.28,500.0,1,18,61
5.31,500.0,1,18,62
5.59,500.0,1,18,63
5.11,500.0,1,18,64
5.49,500.0,1,18,65
5.41,500.0,1,18,66
5.64,500.0,1,19,67
5.49,500.0,1,19,68
5.64,500.0,1,19,69
5.4,500.0,1,19,70
5.51,500.0,1,19,71
5.78,500.0,1,19,72
5.52,500.0,1,19,73
5.79,500.0,1,19,74
5.56,500.0,1,19,75
5.93,500.0,1,19,76
5.83,500.0,1,19,77
6.18,500.0,1,20,67
5.94,500.0,1,20,68
5.98,500.0,1,20,69
5.95,500.0,1,20,70
6.1,500.0,1,20,71
6.13,500.0,1,20,72
6.17,500.0,1,20,73
6.3,500.0,1,20,74
5.77,500.0,1,20,75
6.37,500.0,1,20,76
6.38,500.0,1,20,77
6.12,500.0,1,21,67
6.06,500.0,1,21,68
5.95,500.0,1,21,69
5.85,500.0,1,21,70
6.03,500.0,1,21,71
5.86,500.0,1,21,72
6.39,500.0,1,21,73
6.08,500.0,1,21,74
5.44,500.0,1,21,75
6.03,500.0,1,21,76
6.1,500.0,1,21,77
5.77,500.0,1,22,78
5.52,500.0,1,22,79
5.25,500.0,1,22,80
5.41,500.0,1,22,81
5.37,500.0,1,22,82
5.57,500.0,1,22,83
5.69,500.0,1,22,84
5.98,500.0,1,22,85
5.86,500.0,1,22,86
