Location Key,Province/Territory,Population,Climate,GDP (Millions)
1,Canada,36313068,continental,6175637.0
2,Newfoundland and Labrador,530175,humid continental,97567.0
3,Prince Edward Island,147811,humid continental,19603.0
4,Nova Scotia,947023,eastern-maritime,124436.0
5,New Brunswick,764612,semi-continental,102717.0
6,Quebec,8252179,semi-continental,1200434.0
7,Ontario,13975516,semi-continental,2372230.0
8,Manitoba,1324044,cold continental,205297.0
9,Saskatchewan,1141537,humid continental,233079.0
10,Alberta,4215506,prairie-steppe,971828.0
11,British Columbia,4894147,western maritime,815079.0
12,Canada,36397141,continental,6175637.0
13,Newfoundland and Labrador,529700,humid continental,97567.0
14,Prince Edward Island,148354,humid continental,19603.0
15,Nova Scotia,948945,eastern-maritime,124436.0
16,New Brunswick,764859,semi-continental,102717.0
17,Quebec,8265839,semi-continental,1200434.0
18,Ontario,14012209,semi-continental,2372230.0
19,Manitoba,1328337,cold continental,205297.0
20,Saskatchewan,1143829,humid continental,233079.0
21,Alberta,4224933,prairie-steppe,971828.0
22,British Columbia,4908971,western maritime,815079.0
23,Canada,36545075,continental,6175637.0
24,Newfoundland and Labrador,529742,humid continental,97567.0
25,Prince Edward Island,149740,humid continental,19603.0
26,Nova Scotia,952159,eastern-maritime,124436.0
27,New Brunswick,766697,semi-continental,102717.0
28,Quebec,8292832,semi-continental,1200434.0
29,Ontario,14078499,semi-continental,2372230.0
30,Manitoba,1334734,cold continental,205297.0
31,Saskatchewan,1147315,humid continental,233079.0
32,Alberta,4237310,prairie-steppe,971828.0
33,British Columbia,4934202,western maritime,815079.0
34,Canada,36722075,continental,6175637.0
35,Newfoundland and Labrador,530153,humid continental,97567.0
36,Prince Edward Island,150595,humid continental,19603.0
37,Nova Scotia,956074,eastern-maritime,124436.0
38,New Brunswick,768029,semi-continental,102717.0
39,Quebec,8326075,semi-continental,1200434.0
40,Ontario,14161084,semi-continental,2372230.0
41,Manitoba,1340426,cold continental,205297.0
42,Saskatchewan,1151044,humid continental,233079.0
43,Alberta,4253530,prairie-steppe,971828.0
