,Surrogate Keys,Product Name,Product Category,Province/Territory,Cost (Dollars),Month,Year,Quantity (g),Grams,Calories,Protein,Fat,Fiber,Sat.Fat,Carbs,Multiplier,Inflation,Population,GDP (Millions),Climate
0,1,Bacon,Meat,Canada,5.03,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,36313068,6175637.0,continental
1,2,Bacon,Meat,Newfoundland and Labrador,4.06,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,530175,97567.0,humid continental
2,3,Bacon,Meat,Prince Edward Island,3.94,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,147811,19603.0,humid continental
3,4,Bacon,Meat,Nova Scotia,3.97,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,947023,124436.0,eastern-maritime
4,5,Bacon,Meat,New Brunswick,4.06,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,764612,102717.0,semi-continental
5,6,Bacon,Meat,Quebec,5.66,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,8252179,1200434.0,semi-continental
6,7,Bacon,Meat,Ontario,4.8,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,13975516,2372230.0,semi-continental
7,8,Bacon,Meat,Manitoba,5.84,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1324044,205297.0,cold continental
8,9,Bacon,Meat,Saskatchewan,5.73,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1141537,233079.0,humid continental
9,10,Bacon,Meat,Alberta,5.84,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4215506,971828.0,prairie-steppe
10,11,Bacon,Meat,British Columbia,5.74,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4894147,815079.0,western maritime
11,12,Bacon,Meat,Canada,5.37,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,36313068,6175637.0,continental
12,13,Bacon,Meat,Newfoundland and Labrador,4.94,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,530175,97567.0,humid continental
13,14,Bacon,Meat,Prince Edward Island,4.84,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,147811,19603.0,humid continental
14,15,Bacon,Meat,Nova Scotia,4.95,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,947023,124436.0,eastern-maritime
15,16,Bacon,Meat,New Brunswick,4.89,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,764612,102717.0,semi-continental
