Surrogate Keys,Cost (Dollars),Month,Year,Quantity (g),Grams,Calories,Protein,Fat,Fiber,Sat.Fat,Carbs,Multiplier,Inflation,Population,GDP (Millions),Almonds,Avocado,Bacon,Butter,Olive oil,Peanut butter,Peanuts,Salmon,Sunflower seeds,Sweet potatoes,Condiments,Dairy,Fruits,Meat,Snacks,Vegetables,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan,cold continental,continental,eastern-maritime,humid continental,prairie-steppe,semi-continental,western maritime,isoutlier
1,5.03,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,36313068,6175637.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
3,3.94,1,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,147811,19603.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
12,5.37,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,36313068,6175637.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
14,4.84,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,147811,19603.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
23,5.74,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,36313068,6175637.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
25,5.31,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,147811,19603.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
34,5.57,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,36397141,6175637.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
36,5.28,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,148354,19603.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
45,5.5,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,36397141,6175637.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
47,4.72,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,148354,19603.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
56,5.39,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,36397141,6175637.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
58,4.82,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,148354,19603.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
